scope,period,period_start,period_end,eligible_trip_count,total_route_distance_m,controlled_access_share,arterial_share,local_access_share,major_corridor_roads,motorway_share,trunk_share,primary_share,secondary_share,tertiary_share,residential_share,service_share,unclassified_share,other_share,origin_cluster_id,origin_label,destination_cluster_id,destination_label,pair_total_eligible_trips,pair_observed_months
major_direct_od_pair,late,2023-09,2024-06,12,32847.17987815518,0.0,0.6757839177279938,0.3242160822720062,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.24961027596234817,0.42617364176564565,0.0,0.24755637828139157,0.07665970399061464,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C004,Multi-tenant commercial area near Coconut Creek Parkway,77.0,25.0
major_direct_od_pair,early,2021-09,2022-07,23,66673.45533154978,0.0,0.6579042212663938,0.34209577873360614,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.2390475729542759,0.4188566483121179,0.0,0.2452816724906257,0.09681410624298038,0.0,0.0,C004,Multi-tenant commercial area near Coconut Creek Parkway,C001,"Wynmoor area, Coconut Creek",73.0,28.0
major_direct_od_pair,middle,2022-08,2023-08,30,85054.9740136912,0.0,0.6674984546065656,0.33250154539343435,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.24184986415662674,0.4256485904499389,0.0,0.25631431032926294,0.07618723506417138,0.0,0.0,C004,Multi-tenant commercial area near Coconut Creek Parkway,C001,"Wynmoor area, Coconut Creek",73.0,28.0
major_direct_od_pair,late,2023-09,2024-06,20,57929.63544630026,0.0,0.6816968962640427,0.3183031037359573,"[{'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.2352055202465384,0.44649137601750427,0.0,0.24210424061874286,0.0761988631172145,0.0,0.0,C004,Multi-tenant commercial area near Coconut Creek Parkway,C001,"Wynmoor area, Coconut Creek",73.0,28.0
major_direct_od_pair,early,2021-09,2022-07,22,125783.54129986113,0.0,0.8179232469463502,0.18207675305364976,"[{'road_class': 'secondary', 'road_name': 'West Copans Road'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'primary', 'road_name': 'State Road 7'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'tertiary', 'road_name': 'Northwest 54th Avenue'}]",0.0,0.0,0.4748393292888084,0.24441723696093995,0.09866668069660181,0.12485843661080313,0.05721831644284663,0.0,0.0,C007,Winn-Dixie,C001,"Wynmoor area, Coconut Creek",60.0,26.0
major_direct_od_pair,middle,2022-08,2023-08,23,133791.70730259732,0.0,0.8158145927363705,0.18418540726362953,"[{'road_class': 'secondary', 'road_name': 'West Copans Road'}, {'road_class': 'primary', 'road_name': 'State Road 7'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'tertiary', 'road_name': 'Northwest 54th Avenue'}]",0.0,0.0,0.4343220997397915,0.26487726453050886,0.11661522846607007,0.1243071897926261,0.05987821747100342,0.0,0.0,C007,Winn-Dixie,C001,"Wynmoor area, Coconut Creek",60.0,26.0
major_direct_od_pair,late,2023-09,2024-06,15,86750.42181678739,0.0,0.8172321800193808,0.18276781998061906,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'secondary', 'road_name': 'West Copans Road'}, {'road_class': 'primary', 'road_name': 'State Road 7'}, {'road_class': 'tertiary', 'road_name': 'Northwest 54th Avenue'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}]",0.0,0.0,0.4797599374385561,0.23312315145789972,0.10434909112292501,0.12117871973556835,0.06158910024505074,0.0,0.0,C007,Winn-Dixie,C001,"Wynmoor area, Coconut Creek",60.0,26.0
major_direct_od_pair,early,2021-09,2022-07,35,231743.50067419893,0.0,0.6712428156266691,0.28121426725334253,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'primary', 'road_name': 'Northwest 31st Avenue'}]",0.0,0.0,0.1474417151753858,0.5227831477950783,0.00101795265620502,0.25375797868742245,0.027456288565920098,0.0475429171199883,0.0,C006,The Pomp area,C001,"Wynmoor area, Coconut Creek",57.0,16.0
major_direct_od_pair,middle,2022-08,2023-08,22,147333.9886583927,0.0,0.6746451599168964,0.2778343768445871,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'primary', 'road_name': 'Northwest 31st Avenue'}, {'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}]",0.0,0.0,0.1691394184628356,0.4928965966206644,0.012609144833396545,0.25426797415816405,0.023566402686423057,0.04752046323851623,0.0,C006,The Pomp area,C001,"Wynmoor area, Coconut Creek",57.0,16.0
major_direct_od_pair,late,2023-09,2024-06,0,0.0,,,,[],,,,,,,,,,C006,The Pomp area,C001,"Wynmoor area, Coconut Creek",57.0,16.0
major_direct_od_pair,early,2021-09,2022-07,21,147043.76576761866,0.0,0.6805001373519788,0.27009564122767327,"[{'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.029538045787150705,0.6509620915648281,0.0,0.22819957711060188,0.04189606411707138,0.0494042214203478,0.0,C001,"Wynmoor area, Coconut Creek",C006,The Pomp area,30.0,14.0
major_direct_od_pair,middle,2022-08,2023-08,9,65527.92456808906,0.0,0.6947222665694687,0.2586273265421463,"[{'road_class': 'secondary', 'road_name': 'North Powerline Road'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'South Pompano Parkway'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}]",0.0,0.0,0.08737560293428158,0.6073466636351871,0.0,0.20761289409093148,0.051014432451214856,0.046650406888385024,0.0,C001,"Wynmoor area, Coconut Creek",C006,The Pomp area,30.0,14.0
major_direct_od_pair,late,2023-09,2024-06,0,0.0,,,,[],,,,,,,,,,C001,"Wynmoor area, Coconut Creek",C006,The Pomp area,30.0,14.0
